"","col_sample_rate_per_tree","max_depth","min_rows","mtries","sample_rate","model_ids","logloss"
"1","0.5","20","5.0","4","0.5","RF_rand_model_17","0.27283909575411736"
"2","0.5","50","5.0","4","0.5","RF_rand_model_9","0.28114022787921195"
"3","0.5","20","2.0","7","0.5","RF_rand_model_29","0.28269970309949993"
"4","0.9","20","5.0","5","0.7","RF_rand_model_6","0.28862775294425164"
"5","0.9","20","1.0","4","0.5","RF_rand_model_11","0.28954971088184916"
"6","0.5","20","2.0","5","0.7","RF_rand_model_4","0.2905140571226961"
"7","0.5","20","2.0","7","0.7","RF_rand_model_0","0.2908323370461006"
"8","0.9","20","2.0","4","0.7","RF_rand_model_10","0.2953764583188152"
"9","0.5","20","2.0","5","0.9","RF_rand_model_16","0.29579518746939293"
"10","0.5","50","5.0","4","0.7","RF_rand_model_19","0.29768486084625123"
"11","0.9","50","5.0","7","0.5","RF_rand_model_27","0.2977018227608735"
"12","0.5","20","1.0","7","0.9","RF_rand_model_28","0.2988661448779572"
"13","0.9","20","1.0","5","0.7","RF_rand_model_12","0.29973834115159365"
"14","0.5","50","5.0","7","0.7","RF_rand_model_7","0.30049435167483585"
"15","0.5","50","5.0","5","0.7","RF_rand_model_5","0.30085932169524876"
"16","0.9","20","5.0","7","0.9","RF_rand_model_22","0.3036348041920493"
"17","0.9","20","1.0","4","0.9","RF_rand_model_20","0.3048484458286059"
"18","0.5","50","2.0","4","0.5","RF_rand_model_24","0.30640183147205524"
"19","0.9","20","1.0","7","0.9","RF_rand_model_14","0.30693698454860496"
"20","0.9","50","5.0","4","0.7","RF_rand_model_8","0.3139753540397536"
"21","0.9","50","5.0","5","0.7","RF_rand_model_15","0.3191890675253404"
"22","0.5","50","1.0","5","0.5","RF_rand_model_26","0.3232435589762198"
"23","0.5","50","2.0","4","0.7","RF_rand_model_21","0.33028732255822857"
"24","0.5","50","2.0","4","0.9","RF_rand_model_13","0.3483312683435716"
"25","0.9","50","2.0","4","0.7","RF_rand_model_1","0.3538759876393781"
"26","0.9","50","1.0","5","0.7","RF_rand_model_25","0.38137355714539733"
"27","0.9","50","2.0","5","0.9","RF_rand_model_2","0.3943125338560782"
"28","0.9","50","2.0","7","0.9","RF_rand_model_3","0.3948845180372662"
"29","0.9","50","1.0","4","0.9","RF_rand_model_23","0.41204389644852674"
"30","0.9","50","1.0","7","0.9","RF_rand_model_18","0.4241093889650856"
