"","col_sample_rate_per_tree","min_rows","mtries","sample_rate","model_ids","mean_per_class_error"
"1","0.5","2.0","5","0.5","RF_2_model_21",29.27
"2","0.5","1.0","4","0.5","RF_2_model_16",29.59
"3","0.5","2.0","4","0.7","RF_2_model_3",30.01
"4","0.9","2.0","7","0.7","RF_2_model_22",30.03
"5","0.5","5.0","5","0.5","RF_2_model_5",30.04
"6","0.9","1.0","5","0.5","RF_2_model_17",30.07
"7","0.5","2.0","4","0.9","RF_2_model_0",30.3
"8","0.5","5.0","4","0.5","RF_2_model_29",30.31
"9","0.9","1.0","5","0.7","RF_2_model_12",30.32
"10","0.5","1.0","5","0.7","RF_2_model_9",30.36
"11","0.9","2.0","5","0.5","RF_2_model_27",30.37
"12","0.5","1.0","4","0.9","RF_2_model_15",30.39
"13","0.9","5.0","4","0.5","RF_2_model_2",30.51
"14","0.9","5.0","7","0.7","RF_2_model_26",30.59
"15","0.9","2.0","5","0.9","RF_2_model_24",30.68
"16","0.5","1.0","7","0.7","RF_2_model_13",30.72
"17","0.9","2.0","7","0.9","RF_2_model_20",30.77
"18","0.9","1.0","7","0.7","RF_2_model_1",30.77
"19","0.5","5.0","7","0.5","RF_2_model_6",30.8
"20","0.9","5.0","4","0.9","RF_2_model_14",30.82
"21","0.5","5.0","5","0.7","RF_2_model_8",30.83
"22","0.5","5.0","5","0.9","RF_2_model_7",30.83
"23","0.9","5.0","7","0.9","RF_2_model_19",30.86
"24","0.9","5.0","5","0.7","RF_2_model_25",30.9
"25","0.5","1.0","5","0.5","RF_2_model_23",30.98
"26","0.9","1.0","5","0.9","RF_2_model_11",31.01
"27","0.9","2.0","7","0.5","RF_2_model_18",31.02
"28","0.9","1.0","7","0.5","RF_2_model_28",31.18
"29","0.5","1.0","7","0.9","RF_2_model_4",31.25
"30","0.5","1.0","5","0.9","RF_2_model_10",31.76
