"","col_sample_rate_per_tree","min_rows","mtries","sample_rate","model_ids","logloss"
"1","0.5","5.0","5","0.5","RF_2_model_12","0.23984398481887406"
"2","0.5","5.0","4","0.7","RF_2_model_11","0.24902849744860062"
"3","0.5","2.0","5","0.5","RF_2_model_16","0.25300441816782193"
"4","0.5","1.0","7","0.5","RF_2_model_19","0.2531593187178582"
"5","0.5","5.0","7","0.9","RF_2_model_7","0.25586319087919823"
"6","0.5","2.0","4","0.7","RF_2_model_29","0.2558934768411601"
"7","0.5","5.0","7","0.7","RF_2_model_3","0.2581492875534836"
"8","0.9","2.0","5","0.5","RF_2_model_5","0.2607596979289001"
"9","0.5","1.0","7","0.7","RF_2_model_8","0.26302848884757085"
"10","0.5","1.0","5","0.9","RF_2_model_21","0.26318955168485747"
"11","0.5","2.0","5","0.9","RF_2_model_10","0.2641924596437358"
"12","0.9","5.0","7","0.7","RF_2_model_6","0.26467744685727745"
"13","0.5","2.0","4","0.9","RF_2_model_17","0.2654497415210612"
"14","0.5","1.0","4","0.9","RF_2_model_22","0.2693392019168195"
"15","0.9","5.0","4","0.7","RF_2_model_1","0.26943404119755227"
"16","0.9","5.0","5","0.7","RF_2_model_2","0.2712060805017924"
"17","0.9","1.0","4","0.5","RF_2_model_14","0.2724160774057283"
"18","0.5","2.0","7","0.9","RF_2_model_13","0.27327427952499056"
"19","0.9","1.0","5","0.5","RF_2_model_9","0.2753717709785126"
"20","0.9","1.0","7","0.5","RF_2_model_26","0.27617864580061424"
"21","0.9","2.0","5","0.7","RF_2_model_0","0.27837271756999554"
"22","0.9","5.0","4","0.9","RF_2_model_28","0.27898606852115354"
"23","0.9","1.0","7","0.9","RF_2_model_23","0.2813071132161881"
"24","0.9","5.0","4","0.5","RF_2_model_4","0.28150382138080704"
"25","0.9","1.0","5","0.9","RF_2_model_15","0.282820980518937"
"26","0.9","2.0","7","0.7","RF_2_model_20","0.28359743700896367"
"27","0.9","1.0","7","0.7","RF_2_model_24","0.2860172828673083"
"28","0.9","1.0","4","0.9","RF_2_model_18","0.294141238541975"
"29","0.9","1.0","5","0.7","RF_2_model_27","0.30989117283123774"
"30","0.9","2.0","5","0.9","RF_2_model_25","0.3187731916388803"
